Gene	GeneID	pathway	OG/TSG
ABL1	25	RTK RAS	OG
ACVR1B	91	TGF-Beta	TSG
ACVR2A	92	TGF-Beta	TSG
ADAM10	102	NOTCH	
ADAM17	6868	NOTCH	
AJUBA	84962	HIPPO	OG
AKT1	207	PI3K	OG
AKT1S1	84335	PI3K	OG
AKT2	208	PI3K	OG
AKT3	10000	PI3K	OG
ALK	238	RTK RAS	OG
AMER1	139285	WNT	TSG
APC	324	WNT	TSG
APH1A	51107	NOTCH	
APH1B	83464	NOTCH	
ARAF	369	RTK RAS	OG
ARHGAP35	2909	RTK RAS	
ARRDC1	92714	NOTCH	OG
ATM	472	TP53	TSG
AXIN1	8312	WNT	TSG
AXIN2	8313	WNT	TSG
BRAF	673	RTK RAS	OG
CBL	867	RTK RAS	TSG
CBLB	868	RTK RAS	
CBLC	23624	RTK RAS	
CCN3	4856	NOTCH	TSG
CCND1	595	Cell Cycle	OG
CCND2	894	Cell Cycle	OG
CCND3	896	Cell Cycle	OG
CCNE1	898	Cell Cycle	OG
CDK2	1017	Cell Cycle	OG
CDK4	1019	Cell Cycle	OG
CDK6	1021	Cell Cycle	OG
CDKN1A	1026	Cell Cycle	TSG
CDKN1B	1027	Cell Cycle	TSG
CDKN2A	1029	Cell Cycle	TSG
CDKN2B	1030	Cell Cycle	TSG
CDKN2C	1031	Cell Cycle	TSG
CHD4	1108	WNT	
CHD8	57680	WNT	
CHEK2	11200	TP53	TSG
CIR1	9541	NOTCH	
CNTN1	1272	NOTCH	
CNTN6	27255	NOTCH	TSG
CRB1	23418	HIPPO	TSG
CRB2	286204	HIPPO	TSG
CRB3	92359	HIPPO	TSG
CREBBP	1387	NOTCH	TSG
CSNK1D	1453	HIPPO	TSG
CSNK1E	1454	HIPPO	TSG
CTBP1	1487	NOTCH	
CTBP2	1488	NOTCH	
CTNNB1	1499	WNT	OG
CUL1	8454	NOTCH	TSG
CUL3	8452	NRF2	TSG
DAB2IP	153090	RTK RAS	
DCHS1	8642	HIPPO	TSG
DCHS2	54798	HIPPO	TSG
DEPDC5	9681	PI3K	
DEPTOR	64798	PI3K	OG
DKK1	22943	WNT	TSG
DKK2	27123	WNT	TSG
DKK3	27122	WNT	TSG
DKK4	27121	WNT	TSG
DLK1	8788	NOTCH	
DLL1	28514	NOTCH	
DLL3	10683	NOTCH	
DLL4	54567	NOTCH	
